T,AX,AY,AZ,GX,GY,GZ
46,0.907402,-8.767567,6.663063,-0.027446,0.016787,-0.000533
61,1.053449,-8.726865,6.804321,-0.026779,0.009326,0.000000
76,0.876278,-8.805874,6.921637,-0.035706,0.014522,0.005995
91,0.773327,-8.712500,6.710947,-0.036639,0.015588,0.008394
106,0.902614,-8.825027,6.749255,-0.037704,0.015188,0.004130
121,1.000776,-8.772355,6.679822,-0.034507,0.015855,0.003864
136,0.936133,-8.767567,6.811504,-0.034907,0.013057,0.003597
151,0.830788,-8.817844,6.782773,-0.032908,0.012391,0.004930
166,0.895431,-8.774749,6.766014,-0.034107,0.012657,-0.000666
181,0.995988,-8.712500,6.636727,-0.035706,0.018919,0.001599
196,0.984017,-8.736442,6.821081,-0.035040,0.015588,0.001732
211,0.876278,-8.743625,6.718130,-0.034640,0.015855,0.005462
226,0.821211,-8.738836,6.720524,-0.035972,0.015188,0.001199
241,0.948104,-8.813056,6.763620,-0.031043,0.013323,0.000666
256,0.960075,-8.724471,6.727706,-0.032642,0.017054,0.004663
271,0.916979,-8.774749,6.801927,-0.036239,0.013057,0.004530
286,0.830788,-8.781932,6.756437,-0.039969,0.015188,0.003997
301,0.902614,-8.786720,6.837840,-0.039969,0.017986,0.004130
316,0.950498,-8.710106,6.794744,-0.037305,0.014123,0.006528
331,0.950498,-8.748413,6.847417,-0.031576,0.013323,0.003864
346,0.845153,-8.791509,6.856994,-0.030110,0.010392,-0.000400
361,0.830788,-8.832210,6.837840,-0.036372,0.012790,0.004397
376,0.914585,-8.755595,6.718130,-0.036372,0.015988,0.005596
391,0.986411,-8.712500,6.789956,-0.042634,0.018253,0.011058
406,0.893037,-8.817844,6.768408,-0.041435,0.013456,0.005462
421,0.823605,-8.769960,6.660669,-0.030110,0.018119,0.006928
436,0.919373,-8.748413,6.751649,-0.033841,0.016654,0.001732
451,0.943315,-8.784326,6.794744,-0.034773,0.013323,0.000000
466,0.938527,-8.772355,6.746861,-0.035173,0.023449,0.006795
481,0.797269,-8.793902,6.777985,-0.037838,0.010658,0.004663
496,0.852336,-8.827421,6.900089,-0.038770,0.016920,0.001998
511,0.912191,-8.638280,6.782773,-0.028911,0.015455,0.002398
526,0.881066,-8.844181,6.799533,-0.026913,0.008660,-0.003331
541,0.921768,-8.700529,6.677428,-0.026247,0.014389,-0.002132
556,0.952892,-8.741230,6.806715,-0.023182,0.007994,-0.002398
571,0.919373,-8.848969,6.866570,-0.023049,0.010792,-0.006662
586,0.818817,-8.717288,6.768408,-0.027979,0.017453,-0.001066
601,0.905008,-8.805874,6.799533,-0.047297,0.015855,0.012790
616,0.933739,-8.808268,6.809110,-0.049828,0.015855,0.010925
631,0.952892,-8.710106,6.694188,-0.028778,0.016654,0.005862
646,0.914585,-8.880094,6.794744,-0.036239,0.014389,0.005196
661,0.845153,-8.865728,6.809110,-0.038770,0.013989,0.002931
676,0.873884,-8.767567,6.825869,-0.032242,0.017720,0.001865
691,0.957681,-8.803479,6.777985,-0.033041,0.016654,0.006662
706,0.926556,-8.726865,6.833052,-0.035972,0.019585,0.007861
721,0.785298,-8.858546,6.756437,-0.036905,0.017320,0.003864
736,0.809240,-8.755595,6.670246,-0.030510,0.018519,-0.000266
751,0.960075,-8.722076,6.749255,-0.033841,0.008793,0.001199
766,0.950498,-8.734048,6.813898,-0.030776,0.007194,-0.006528
781,0.854730,-8.803479,6.744466,-0.014389,0.007194,-0.011058
796,0.782904,-8.765172,6.768408,-0.010792,0.009859,-0.010126
811,0.931344,-8.760384,6.854599,-0.027845,0.014123,0.000000
826,0.897826,-8.805874,6.768408,-0.046897,0.019052,0.011458
841,0.897826,-8.815451,6.684611,-0.041302,0.019319,0.008793
856,0.845153,-8.808268,6.746861,-0.031309,0.013323,0.002931
