T,AX,AY,AZ,GX,GY,GZ
46,-3.136404,1.946486,-6.763620,-0.039703,-0.031576,0.007994
61,-3.052607,2.082955,-6.722918,-0.018119,0.026513,-0.004530
76,-3.236961,1.984793,-6.730101,-0.027845,0.014256,0.000133
91,-3.220201,1.884237,-6.691793,-0.035706,0.001332,0.003198
106,-3.220201,2.030283,-6.725312,-0.043567,0.019185,0.011058
121,-3.126827,2.188300,-6.677428,-0.041968,0.022250,0.008660
136,-3.150769,2.197877,-6.742072,-0.029711,0.018519,0.002132
151,-3.201048,2.063802,-6.658275,-0.037704,-0.041168,0.009193
166,-3.100491,1.987187,-6.617573,-0.037971,0.030110,0.008127
181,-3.270479,1.932121,-6.687005,-0.042900,0.037971,0.009060
196,-3.071761,2.135628,-6.581660,-0.044499,0.001332,0.009060
211,-3.074155,2.042254,-6.756437,-0.030243,0.008660,0.001066
226,-3.227384,2.080561,-6.653486,-0.025314,0.020251,-0.000933
241,-3.160346,2.087744,-6.725312,-0.023582,0.009992,0.001199
256,-3.134010,2.082955,-6.670246,-0.020784,0.009726,-0.000533
271,-3.222595,1.956063,-6.670246,-0.025847,0.019585,0.003198
286,-3.356671,1.915361,-6.605602,-0.026646,0.013057,0.002931
301,-3.179500,2.027889,-6.691793,-0.027845,0.010259,0.006662
316,-3.047819,2.066196,-6.655880,-0.023449,0.018919,0.003597
331,-3.136404,1.965640,-6.701370,-0.028645,0.017320,0.005063
346,-3.241749,2.023100,-6.744466,-0.026380,0.020784,0.005596
361,-3.224990,2.001553,-6.682217,-0.031443,0.011991,0.006928
376,-3.124433,2.118868,-6.698976,-0.037038,0.020118,0.011724
391,-3.141193,2.178724,-6.770802,-0.032775,0.022250,0.007194
406,-3.136404,2.231396,-6.548141,-0.053426,-0.013456,0.026380
421,-3.248932,1.946486,-6.445191,-0.031975,-0.007461,0.020384
436,-2.801216,2.130840,-6.842628,-0.017320,0.001998,0.014256
451,-3.172317,1.826776,-6.770802,-0.021317,0.002931,-0.006928
466,-3.177106,1.805228,-6.842628,-0.081937,-0.074343,0.024515
481,-3.246537,1.747767,-6.548141,-0.085268,-0.013723,0.024914
496,-3.268085,2.035071,-6.651092,-0.097792,0.012391,0.032508
511,-3.406949,1.977611,-6.749255,-0.102455,0.008127,0.033041
526,-3.184288,2.130840,-6.531382,-0.107118,0.047297,0.039170
541,-3.193865,2.375048,-6.593631,-0.080338,0.031043,0.023049
556,-2.980781,2.497152,-6.600814,-0.035440,0.033574,0.001466
571,-2.985569,2.212242,-6.627150,-0.019052,0.033441,0.000000
586,-3.394978,2.032677,-6.627150,-0.004530,-0.003064,-0.000933
601,-3.186682,1.953669,-6.763620,-0.028645,0.009459,0.005329
616,-3.184288,1.915361,-6.634333,-0.046364,0.022516,0.008527
631,-3.112462,2.003947,-6.653486,-0.066349,0.008127,0.015055
646,-3.114856,2.082955,-6.706159,-0.067948,0.022116,0.014922
661,-3.153164,2.257732,-6.588843,-0.060354,0.015322,0.006528
676,-3.117250,2.284068,-6.524199,-0.043567,0.005196,0.000266
691,-3.205836,2.219425,-6.663063,-0.011058,0.004530,-0.006662
706,-3.213019,2.066196,-6.689399,-0.019851,0.004796,0.000799
721,-3.275268,1.991976,-6.648698,-0.025847,0.026779,0.001998
736,-3.169923,2.087744,-6.576872,-0.035040,0.021583,0.007861
751,-3.019088,2.161964,-6.660669,-0.028911,0.015988,-0.000266
766,-3.134010,2.063802,-6.631938,-0.035306,0.021051,0.007328
781,-3.258508,2.056619,-6.627150,-0.043567,0.015721,0.006262
796,-3.186682,2.140416,-6.619967,-0.040636,0.011991,0.009060
811,-3.066972,2.243367,-6.660669,-0.028645,0.013323,0.005995
826,-3.131616,2.236184,-6.624756,-0.021717,0.012524,-0.000133
841,-3.258508,2.090138,-6.701370,0.000000,0.013057,-0.007994
856,-3.186682,2.092532,-6.627150,-0.001865,0.008926,-0.010126
871,-3.162740,2.020706,-6.689399,-0.015322,0.013190,-0.006528
886,-3.131616,1.936909,-6.545747,-0.036639,0.012391,0.005862
901,-3.210624,2.035071,-6.603208,-0.047830,0.013190,0.004530
916,-3.234566,2.011129,-6.610391,-0.049828,0.011325,0.007994
931,-3.131616,2.176329,-6.706159,-0.043433,0.009193,0.006795
946,-3.136404,2.250550,-6.720524,-0.032908,0.016654,-0.000666
961,-3.277662,2.161964,-6.687005,-0.012790,0.012524,-0.003864
976,-3.189077,2.135628,-6.696582,-0.005462,0.019052,-0.006928
991,-3.114856,2.128445,-6.646304,-0.007061,0.019452,-0.008527
1006,-3.038242,2.240973,-6.792350,0.031309,-0.024515,-0.016654
1021,-3.126827,1.948880,-6.641515,-0.026380,0.045698,-0.001599
1036,-3.198653,1.855506,-6.519411,-0.074743,0.045032,0.022383
1051,-3.129222,2.013524,-6.660669,-0.053959,-0.013856,0.016121
1066,-3.093308,2.051831,-6.715735,-0.047430,0.025181,-0.000799
1081,-3.282450,1.960851,-6.691793,-0.040902,0.020384,0.001066
1096,-3.292027,2.111686,-6.610391,-0.045565,0.007594,0.005729
1111,-3.165135,2.056619,-6.598420,-0.051294,0.016654,0.012524
1126,-3.126827,2.140416,-6.576872,-0.047963,0.012790,0.008660
1141,-3.244143,2.161964,-6.514623,-0.032642,0.001998,0.006528
1156,-3.177106,2.102109,-6.670246,-0.033041,0.008527,0.002398
1171,-3.208230,2.138022,-6.682217,-0.021717,0.021583,0.001066
1186,-3.119645,2.047042,-6.663063,-0.021717,0.015055,0.000666
1201,-3.131616,2.008735,-6.646304,-0.025580,0.018386,0.000266
1216,-3.289633,2.027889,-6.665457,-0.037571,0.019851,0.003597
1231,-3.167529,2.190695,-6.581660,-0.037305,0.016121,0.005462
1246,-3.110068,2.197877,-6.600814,-0.031576,0.016521,0.002531
1261,-3.155558,2.173935,-6.574478,-0.029977,0.010925,0.003064
1276,-3.215413,2.075773,-6.598420,-0.023848,0.016521,-0.002798
1291,-3.196259,2.106897,-6.653486,-0.018786,0.008394,-0.003597
1306,-3.155558,2.049437,-6.643909,-0.011858,0.011991,-0.005862
1321,-3.210624,1.903390,-6.576872,-0.031576,0.011858,0.000000
1336,-3.284845,1.936909,-6.679822,-0.049162,0.011724,0.009060
1351,-3.289633,2.097321,-6.665457,-0.059421,0.016121,0.013590
1366,-3.150769,2.221819,-6.639121,-0.054092,0.016654,0.010126
1381,-3.114856,2.224213,-6.629544,-0.039969,0.014123,0.005596
1396,-3.117250,2.200271,-6.710947,-0.027979,0.022383,-0.001332
1411,-3.234566,2.087744,-6.727706,0.001466,0.055557,-0.011724
1426,-3.232172,2.118868,-6.687005,-0.002798,0.013590,-0.003997
1441,-3.095703,1.975216,-6.622362,-0.024381,0.014522,0.006395
1456,-3.648763,1.833959,-6.581660,-0.004130,-0.021184,-0.003331
1471,-3.059790,2.042254,-6.521805,-0.063951,-0.016654,0.016254
1486,-3.157952,2.090138,-6.622362,-0.066616,0.055025,0.009326
1501,-3.203442,2.272097,-6.639121,-0.043567,0.005729,0.004530
1516,-3.157952,2.099715,-6.548141,-0.040103,0.005729,0.001199
1531,-3.256114,2.116474,-6.593631,-0.027179,0.021583,-0.003464
1546,-3.179500,2.061408,-6.629544,-0.023315,0.012124,0.003464
1561,-3.093308,2.032677,-6.605602,-0.037172,0.010126,0.008394
1576,-3.239355,2.181118,-6.653486,-0.051827,0.023582,0.007727
1591,-3.344700,2.207454,-6.667851,-0.046498,0.013323,0.007061
1606,-3.114856,2.193089,-6.615179,-0.021717,0.015455,-0.004663
1621,-3.066972,1.999158,-6.708553,-0.023449,0.021450,0.002531
1636,-3.172317,2.138022,-6.634333,-0.026779,0.016920,0.007328
1651,-3.232172,2.255338,-6.622362,-0.012923,0.027046,-0.003464
1666,-3.136404,2.001553,-6.639121,-0.016654,0.019052,-0.003064
1681,-3.093308,2.157176,-6.517017,-0.034640,0.011991,0.002798
1696,-3.186682,2.205060,-6.603208,-0.019452,0.014123,-0.005729
1711,-3.162740,2.015918,-6.904878,0.022250,0.084335,-0.024648
1726,-3.335123,1.697489,-6.720524,-0.040103,0.084069,0.004930
1741,-3.754108,2.044648,-6.454768,-0.034374,-0.033974,0.014522
1756,-2.554613,2.291251,-6.236896,-0.100856,-0.082337,0.049962
1771,-3.471592,2.035071,-6.540959,-0.007061,0.052093,0.000400
1786,-3.406949,1.831564,-6.658275,-0.103254,0.045299,0.025047
1801,-3.236961,2.281674,-6.596025,-0.076475,-0.005995,0.015855
1816,-3.165135,2.123657,-6.533776,-0.042634,0.048496,0.008926
1831,-3.196259,2.039860,-6.718130,-0.051161,0.004796,0.013989
1846,-3.186682,2.250550,-6.600814,-0.053825,0.005862,0.013323
1861,-3.196259,2.391808,-6.509834,-0.027179,0.013057,-0.001732
1876,-3.179500,2.322376,-6.701370,-0.002665,0.018919,-0.009060
1891,-3.177106,2.059013,-6.708553,-0.008660,0.012790,-0.007061
1906,-3.191471,2.035071,-6.651092,-0.015188,0.018786,0.000000
1921,-3.131616,2.030283,-6.631938,-0.025447,0.015588,0.006662
1936,-3.191471,2.001553,-6.576872,-0.035440,0.015988,0.006528
1951,-3.191471,2.111686,-6.576872,-0.057689,0.022250,0.013057
1966,-3.248932,2.219425,-6.600814,-0.055957,0.015588,0.008394
1981,-3.248932,2.245761,-6.627150,-0.023315,0.017986,-0.004130
1996,-3.033453,2.059013,-6.607996,-0.020917,-0.003864,0.002398
2011,-3.129222,2.082955,-6.593631,-0.015322,0.019319,-0.003464
2026,-3.373430,2.085350,-6.593631,-0.029311,0.013856,0.000933
2041,-3.186682,2.003947,-6.552930,-0.037172,0.017853,0.008127
2056,-3.071761,2.056619,-6.648698,-0.040103,0.030243,0.006928
2071,-3.169923,2.142811,-6.615179,-0.025980,-0.001466,0.004397
2086,-3.117250,2.121263,-6.675034,-0.046764,0.030910,0.003198
2101,-2.987964,2.430115,-6.734890,-0.044766,-0.011058,0.007994
2116,-3.165135,2.109292,-6.694188,-0.036905,0.067681,0.002798
2131,-3.327940,2.099715,-6.648698,-0.027312,0.005995,0.003730
2146,-3.160346,2.106897,-6.603208,-0.021850,-0.004930,0.002798
2161,-3.227384,1.996764,-6.617573,-0.034907,0.030377,0.003064
2176,-3.224990,2.126051,-6.612785,-0.052360,0.015721,0.010126
2191,-3.114856,2.142811,-6.507440,-0.059688,0.015188,0.012790
2206,-3.138798,2.214637,-6.567295,-0.042900,0.015721,0.005596
2221,-3.131616,2.284068,-6.603208,-0.023315,0.012524,0.001332
2236,-3.181894,2.135628,-6.653486,-0.011191,0.006129,-0.004796
2251,-3.153164,2.090138,-6.670246,-0.014789,0.015988,-0.000666
2266,-3.287239,1.968034,-6.689399,-0.026247,0.015588,0.002398
