T,AX,AY,AZ,GX,GY,GZ
46,0.744597,7.393295,-4.012682,0.418613,-0.526530,0.750358
61,0.739808,7.096414,-4.103662,0.393299,-0.521201,0.761283
76,0.663194,6.883330,-4.259285,0.368917,-0.529194,0.769144
91,0.691924,6.751649,-4.362236,0.343070,-0.554642,0.764881
106,0.612916,6.579266,-4.335899,0.324818,-0.571562,0.755155
121,0.572214,6.756437,-4.551377,0.316291,-0.594744,0.750625
136,0.426168,6.737284,-4.587290,0.328681,-0.565966,0.740100
151,0.241814,6.799533,-4.666299,0.333345,-0.549579,0.740499
166,0.287304,6.687005,-4.774038,0.323219,-0.503881,0.743164
181,0.359130,6.615179,-5.001487,0.303767,-0.483096,0.751957
196,0.531513,6.749255,-4.903325,0.317490,-0.453519,0.737435
211,0.380678,6.555324,-4.817134,0.329348,-0.443926,0.719982
226,0.363919,6.514623,-4.843470,0.340672,-0.445659,0.701995
241,0.483629,6.385336,-4.776433,0.315891,-0.416614,0.703727
256,0.677559,6.332664,-4.817134,0.267528,-0.413949,0.717983
271,0.742203,6.402095,-4.922479,0.254205,-0.418613,0.705726
286,0.713472,6.411672,-4.802769,0.260067,-0.437798,0.684675
301,0.900220,6.457162,-4.946421,0.254871,-0.450455,0.665090
316,0.888249,6.493075,-4.984728,0.262199,-0.475769,0.652300
331,0.746991,6.507440,-5.128380,0.253806,-0.462579,0.666822
346,0.591368,6.438008,-5.224148,0.268727,-0.425541,0.677481
361,0.653617,6.442797,-5.331887,0.274190,-0.409819,0.681211
376,0.869095,6.332664,-5.317522,0.294708,-0.398361,0.664025
391,0.967257,6.100426,-5.305551,0.301769,-0.408221,0.654565
406,0.730232,5.731719,-5.418078,0.269926,-0.395031,0.651101
421,0.756568,5.762844,-5.415684,0.254338,-0.361057,0.636446
436,0.991199,5.863400,-5.324705,0.253006,-0.360257,0.619392
451,1.089362,5.829881,-5.386954,0.227692,-0.346934,0.607534
466,1.103727,5.741296,-5.415684,0.204243,-0.361989,0.604470
481,1.118092,5.726930,-5.501875,0.201845,-0.363455,0.596476
496,0.998382,5.705382,-5.657498,0.204510,-0.352530,0.580755
511,0.873884,5.554548,-5.683835,0.193319,-0.345602,0.571562
526,0.972046,5.762844,-5.827487,0.183459,-0.326283,0.562103
541,0.995988,5.789180,-5.748478,0.196116,-0.310562,0.549579
556,0.972046,5.674258,-5.717353,0.217167,-0.290178,0.530394
571,0.794875,5.494693,-5.827487,0.221430,-0.247144,0.520801
586,1.063026,5.386954,-5.705382,0.195583,-0.221031,0.519735
601,1.307234,5.482722,-5.561730,0.179596,-0.248210,0.499884
616,1.266533,5.418078,-5.597643,0.197315,-0.261799,0.466576
631,0.976834,5.439626,-5.748478,0.164541,-0.257936,0.460980
646,0.924162,5.626374,-5.772420,0.171602,-0.260600,0.456583
661,1.039083,5.592855,-5.887342,0.166806,-0.206508,0.454585
676,1.228225,5.640739,-5.935226,0.142824,-0.201046,0.470440
691,1.240196,5.585672,-5.925649,0.163874,-0.208107,0.464311
706,1.106121,5.540183,-5.937620,0.196516,-0.212770,0.456051
721,1.185130,5.348647,-5.882554,0.219165,-0.199447,0.440995
736,1.192312,5.219359,-5.841852,0.211571,-0.183726,0.437665
751,1.053449,5.116409,-5.849035,0.188256,-0.162675,0.426740
766,1.051054,5.018247,-5.901707,0.161343,-0.159211,0.412484
781,1.170765,4.955997,-5.832275,0.140292,-0.155614,0.391034
796,1.213860,4.999093,-5.858612,0.121107,-0.145222,0.378244
811,1.194707,5.085284,-5.777209,0.096326,-0.153349,0.372781
826,1.206678,5.178658,-5.899313,0.100057,-0.153882,0.362123
841,1.312023,5.274426,-5.980716,0.110315,-0.141225,0.357459
856,1.426944,5.293580,-6.265626,0.124172,-0.163475,0.355061
871,1.218649,5.109226,-6.301539,0.140825,-0.146421,0.344536
886,0.974440,5.106832,-6.445191,0.134164,-0.100856,0.349066
901,1.005565,5.185841,-6.342240,0.118842,-0.046498,0.357593
916,1.206678,5.257667,-6.224924,0.138028,0.005329,0.354795
931,1.249773,5.066131,-6.177040,0.166406,0.041168,0.339207
946,1.300051,4.884171,-5.947197,0.188922,0.034240,0.323219
961,1.391031,4.611232,-5.858612,0.167605,0.042368,0.312427
976,1.709460,4.560954,-5.691017,0.092862,0.024115,0.318556
991,1.829170,4.469975,-5.738902,0.051560,-0.013723,0.300703
1006,1.764527,4.639963,-5.693411,0.038371,-0.067282,0.274057
1021,1.731008,4.778827,-6.038177,0.054758,-0.106052,0.244879
1036,1.805228,5.008670,-6.004658,0.074210,-0.133364,0.230490
1051,1.651999,4.836287,-6.189011,0.112181,-0.141758,0.215968
1066,1.331176,4.797980,-6.421249,0.130034,-0.121640,0.209839
1081,1.271321,4.560954,-6.538565,0.116178,-0.067415,0.222763
1096,1.496376,4.508282,-6.478710,0.086734,-0.015588,0.215435
1111,1.549048,4.398149,-6.476315,0.052626,0.015455,0.207974
1126,1.630451,4.405331,-6.380548,0.021051,0.019585,0.193452
1141,1.759738,4.537012,-6.165069,0.022783,-0.009992,0.167871
1156,1.802834,4.656722,-6.150704,0.022116,-0.044499,0.155747
1171,1.812411,4.821922,-6.095637,0.040769,-0.042501,0.151084
1186,1.683124,4.967968,-6.234501,0.053026,-0.040369,0.163208
1201,1.618480,4.972757,-6.138733,0.074077,-0.043167,0.181861
1216,1.678335,4.764462,-6.215347,0.086600,-0.050228,0.195983
1231,1.632846,4.675876,-6.119579,0.072345,-0.034907,0.216234
1246,1.604115,4.616021,-6.217741,0.077674,-0.007461,0.211172
1261,1.599327,4.204218,-6.078878,0.071012,-0.014922,0.195983
1276,1.678335,4.070143,-6.093243,0.023582,-0.025314,0.176398
1291,1.912967,4.158728,-5.963956,-0.001332,-0.074876,0.144023
1306,1.580173,4.086902,-6.244078,-0.047830,-0.101123,0.130966
1321,1.302446,4.335899,-6.189011,-0.055424,-0.056357,0.109383
1336,1.290475,4.491522,-6.332664,-0.042767,-0.037971,0.093928
1351,1.364695,4.673481,-6.378153,-0.053825,0.002665,0.103121
1366,1.628057,4.721365,-6.380548,-0.019452,0.014655,0.085135
1381,1.434127,4.453215,-6.514623,-0.009459,0.012257,0.085801
1396,1.496376,4.448427,-6.459556,-0.059688,0.051427,0.105919
1411,1.728614,4.596867,-6.363788,-0.031043,0.043433,0.081404
1426,1.702277,4.496311,-6.366182,-0.027579,0.084602,0.059021
1441,1.841141,4.323928,-6.311116,-0.018119,0.067015,0.027046
1456,1.886631,4.438850,-6.174646,-0.031709,0.073410,0.014789
1471,1.953669,4.560954,-6.224924,-0.078873,0.041168,0.041568
1486,2.001553,4.716577,-6.291962,-0.127769,0.031176,0.085002
1501,1.857901,4.786009,-6.212953,-0.168404,0.025847,0.137894
1516,1.977611,5.173870,-6.222530,-0.124038,0.017587,0.150951
1531,2.059013,5.114015,-6.098032,-0.017720,-0.019585,0.116711
1546,2.197877,5.051765,-6.129156,0.072611,-0.053559,0.083403
1561,1.877054,4.635174,-6.268020,0.110982,-0.047830,0.075142
1576,1.783680,4.292804,-6.323087,0.081538,-0.041968,0.077807
1591,1.750161,3.995923,-6.440403,0.010392,-0.002132,0.081804
1606,1.841141,4.156334,-6.359000,-0.029711,-0.003597,0.071012
1621,1.685518,4.098873,-6.150704,-0.052227,0.003331,0.065683
1636,1.580173,4.132392,-6.200982,-0.068747,0.019052,0.053559
1651,1.683124,4.259285,-6.035782,-0.083403,0.024115,0.052626
1666,1.879448,4.436456,-6.117185,-0.049562,0.010658,0.029178
1681,1.848324,4.194641,-6.299145,-0.042368,0.017453,-0.000666
1696,1.740585,4.309563,-6.366182,-0.054092,0.014922,-0.008127
1711,1.704672,4.252102,-6.478710,-0.059554,0.021850,-0.018519
1726,1.766921,4.374207,-6.418855,-0.070213,0.052493,-0.034240
1741,1.833959,4.450821,-6.402095,-0.071012,0.065283,-0.047963
1756,1.841141,4.529830,-6.299145,-0.085668,0.073011,-0.052493
1771,2.020706,4.697423,-6.239290,-0.121507,0.058089,-0.033308
1786,2.243367,5.063736,-6.119579,-0.113380,0.016121,-0.014789
1801,2.315193,5.236119,-6.129156,-0.073144,-0.009060,-0.005196
1816,1.826776,5.384560,-6.263232,-0.069280,-0.026113,0.043833
1831,1.857901,5.147533,-6.342240,-0.054225,-0.013723,0.067815
1846,2.051831,5.082890,-6.452374,0.002132,-0.029844,0.059688
1861,1.917755,4.759673,-6.426037,0.053159,-0.013590,0.032375
1876,1.831564,4.529830,-6.294356,0.055691,-0.011458,0.012124
1891,1.905784,4.436456,-6.220136,0.014256,-0.010259,0.022649
1906,1.996764,4.632780,-6.215347,-0.043700,-0.024781,0.055025
1921,2.104503,4.829105,-6.114791,-0.068214,-0.040636,0.072478
1936,1.912967,4.795586,-6.222530,-0.069680,-0.059688,0.084069
1951,1.889025,4.594473,-6.301539,-0.081804,-0.073544,0.094461
1966,1.802834,4.587290,-6.205770,-0.076075,-0.080605,0.092862
1981,1.671153,4.699818,-6.279991,-0.023182,-0.073277,0.062752
1996,1.635240,4.541800,-6.200982,0.057289,-0.073410,0.007461
2011,1.154005,3.986346,-6.399701,0.045432,-0.029977,-0.019585
2026,1.357512,3.902549,-6.361394,-0.003064,-0.012257,-0.024515
2041,1.395820,3.873818,-6.442797,-0.093129,0.038237,-0.016387
2056,1.539472,4.173093,-6.562507,-0.145622,0.063818,-0.012790
2071,1.659182,4.448427,-6.488286,-0.144156,0.068481,-0.027179
2086,1.838747,4.920084,-6.284780,-0.098724,0.064084,-0.041701
2101,1.860295,4.857835,-6.239290,-0.071812,0.065150,-0.032508
2116,1.915361,4.908113,-6.215347,-0.103254,0.078340,0.014522
2131,1.915361,4.886566,-6.095637,-0.139893,0.072611,0.061020
2146,1.953669,4.948815,-6.131550,-0.203044,0.087000,0.096326
2161,2.133234,5.171475,-5.978322,-0.153482,0.032775,0.088199
2176,2.039860,5.082890,-6.040571,-0.104720,0.029577,0.059288
2191,1.963245,4.747702,-6.062119,-0.081005,-0.017853,0.039570
2206,1.915361,4.632780,-5.935226,-0.091263,-0.020518,0.027845
2221,2.001553,4.881777,-5.990293,-0.082204,-0.037704,0.008260
2236,2.015918,5.032612,-6.160281,-0.040103,-0.044100,-0.009459
2251,1.865083,4.850653,-6.210559,-0.029977,-0.055424,0.006928
2266,1.838747,4.829105,-6.282385,-0.065150,-0.049695,0.039969
2281,1.704672,4.948815,-6.169858,-0.081804,-0.039969,0.069147
2296,1.812411,4.898537,-6.212953,-0.044899,-0.027579,0.062485
2311,1.551443,4.568137,-6.200982,-0.036372,-0.005196,0.043300
2326,1.644817,4.288015,-6.160281,-0.065683,-0.015188,0.038371
2341,1.685518,4.359841,-6.150704,-0.102988,0.005596,0.025181
2356,1.769315,4.570531,-6.148310,-0.108717,0.003864,0.009992
2371,1.642422,4.510676,-6.145916,-0.111781,0.016920,-0.005063
2386,1.503559,4.807557,-6.112397,-0.125637,0.037172,-0.008127
2401,1.508347,4.683058,-6.054936,-0.117110,0.030510,-0.020651
2416,1.709460,4.510676,-6.088455,-0.194784,0.071145,0.001599
2431,1.781286,4.797980,-6.045359,-0.225161,0.078473,0.008394
2446,1.666364,4.771644,-6.179434,-0.260734,0.072877,0.022116
